Applicationid,Underwriter,Amountfinanced,Term,Status,Dealername,Dealergroup,Dealerstate,Dealercity,Applicationdate Date,Approvaldate Date,Bookeddate Date,Collateralyear,Collateraltype,Collateralnewused,Coficoauto8,Dti,Pti,Dealerrepresentative,Timetobook,Timetodecision,Dealerminimumrate,Cashdown,Totaldown,Isbusinessapp,Timetolastfund,Timetolastdecisiontolastcontract,Apr,Programmanual,Programdefault,Ltv,Dealerreserveamount,Dealerreservepercent,Backend,Invoice,Primaryficoauto8,Lender,Primarystate,Applicationsubmitteduser,Wasapproved,Wasapprovednotbooked,Clientdealerid,Class
252400,mlomedico,100409,240,Decline,PALMETTO BOAT CENTER INC - SC101,,SC,PIEDMONT,2026-08-25,,,2026,Boat,New,,89.23,8.74,jsmith,,27,10.24,13000,12800,false,,,11.74,Core,Core,1.13,0,,0,88730.96,697,Source One Financial Services,SC, zach whitehead,0,0,SC101,Core
252194,sbaker,54248.48,180,Booked,Plano Marine -TX112,,TX,Pottsboro,2026-08-25,2026-08-31,2026-08-31,2009,Boat,Used,,21.41,2.64,gott,8873,8745,11.99,2650,2650,false,128,0,12.99,Core,Core,0.78,2169.94,4,0,69960,707,Source One Financial Services,TX, bill tharpe,1,0,TX112,Core
252263,pmeza,16750,120,Auto Approval,HAPPY CAMPERS RV SALES and SERVICE - IN182,,IN,LAFAYETTE,2026-08-25,2026-08-25,,2018,RV,Used,,29.64,6.54,jharrington1,,60,13.99,1600,1600,false,,,13.99,Silver 1,Not Applicable,0.89,0,,0,18750,653,Connexus Credit Union,WA, ashley herrera,1,1,IN182,Not Applicable
252443,eavila,114576.54,180,Decline,Fun Town RV - Las Vegas - NV116,Fun Town,NV,Las Vegas,2026-08-25,,,2025,RV,New,,16.8,13.99,ljablonoski,,875,22.99,25000,25000,false,,,23.99,Not Applicable,Not Applicable,0.84,0,,0,136250,607,Ideal Credit Union,FL, julie ronquillo,0,0,NV116,Not Applicable
252335,mnava,16947.74,180,Decline,Blue Compass RV - Post Falls - ID123,Blue Compass,ID,Post Falls,2026-08-25,,,2018,RV,Used,,4.03,3.23,ljablonoski,,9,10.99,3300,3300,false,,,12.49,Core,Core,0.94,0,,0,18040,705,Source One Financial Services,ID, william reed,0,0,ID123,Core
252217,mlomedico,26414.28,180,Auto Approval,SMITH MOTOR CO OF HATTIESBURG INC - MS107,,MS,HATTIESBURG,2026-08-25,2026-08-26,,2026,Boat,New,,25.49,4.37,jsmith,,1568,9.99,1290,1290,false,,,11.49,Core,Core,1.04,0,,0,25398,717,Source One Financial Services,MS, elizabeth aycox,1,1,MS107,Core
252294,thovey,94844.72,240,Decline,La Mesa RV Center - Albuquerque - NM109,La Mesa,NM,Albuquerque,2026-08-25,,,2024,RV,Used,683,31.75,11.73,edominguez,,12,10.24,1000,1000,false,,,11.74,Core,Core,0.96,0,,0,98479,683,Source One Financial Services,NM, leon garcia,0,0,NM109,Core
252402,rsimmons,53645.74,240,Auto Approval,Phil Dill Boats -TX104,OneWater,TX,Lewisville,2026-08-25,2026-08-25,,2026,Boat,New,685,34.07,4.63,gott,,11,9.99,0,0,false,,,11.49,Core,Core,1.19,0,,0,45121.56,720,Source One Financial Services,TX, baily blackney,1,1,TX104,Core
252373,ahunt,39094.23,180,Conditional Approval,Blue Compass RV - Knoxville - TN159,Blue Compass,TN,Louisville,2026-08-25,2026-08-25,,2026,RV,New,,39.04,9.45,jsmith,,54,12.49,15000,25900,false,,,13.49,Silver 1,Silver 1,0.9,0,,0,43408,678,Source One Financial Services,TN, joseph ward,1,1,TN159,Silver
252278,,123046.78,240,Auto Decline,General RV-Wayland -MI339,General RV,MI,MOUNT VERNON,2026-08-25,,,2026,RV,New,,71.86,15.92,dzilberchtein,,0,12.49,3000,21000,false,,,13.49,Silver 1,Silver 1,1.18,0,,0,103995,670,Source One Financial Services,MI,,0,0,MI339,Silver
252177,rsimmons,20579.58,180,Decline,DADS CAMPER OUTLET - GULFPORT - MS100,,MS,GULFPORT,2026-08-25,,,2021,RV,Used,,20.17,2.47,jsmith,,10,14.49,2000,2000,false,,,15.49,Silver 1,Silver 1,0.63,0,,0,32645,654,Source One Financial Services,TX, ricky arnaud,0,0,MS100,Silver
252449,avera,72933,180,Approved,BRETZ RV & MARINE - MISSOULA - MT116,Bretz RV,MT,Missoula,2026-08-25,2026-08-26,,2027,RV,New,725,38,8.44,dzilberchtein,,539,9.74,5000,8519,false,,,11.24,Core,Core,1.15,0,,0,63237,727,Source One Financial Services,MT, julia mills,1,1,MT116,Core
252222,lgrace,33603.6,180,Approved,The Outpost RV Inc -IN144,,IN,Middlebury,2026-08-25,2026-08-25,,2027,RV,New,,5.92,5.92,jharrington1,,292,7.89,2609.43,2609.43,false,,,8.64,Not Applicable,Not Applicable,1.02,0,,0,32855,,Ideal Credit Union,IN,,1,1,IN144,Not Applicable
252334,ccampos,59962.68,240,Auto Approval,BLUE COMPASS RV - CORPUS CHRISTI - TX459,Blue Compass,TX,CORPUS CHRISTI,2026-08-25,2026-08-25,,2027,RV,New,830,42.21,4.19,gott,,31,7.49,6000,6000,false,,,8.99,Core,Core,0.81,0,,0,74051,831,Source One Financial Services,TX, elisa escamilla,1,1,TX459,Core
252397,lgrace,48294,180,Auto Approval,"Vantage Recreational Finance, Inc. -FL291",VRF,FL,FORT LAUDERDALE,2026-08-25,2026-08-26,,2021,RV,Used,,37.47,5.7,S1House,,1483,10.24,5000,5000,false,,,11.74,Core,Core,0.96,0,,0,50250,729,Source One Financial Services,OH, megan fitzkee,1,1,FL291,Core
